book_id,openlibrary_work_key,status,edition_rows,reported_size,error
BOOK00484,/works/OL2985199W,success,11,11.0,
BOOK00485,/works/OL7942382W,success,5,5.0,
BOOK00486,/works/OL24135072W,success,3,3.0,
BOOK00487,/works/OL2618948W,success,15,15.0,
BOOK00488,/works/OL9330504W,success,3,3.0,
BOOK00489,/works/OL6443514W,success,3,3.0,
BOOK00490,/works/OL20665880W,success,21,21.0,
BOOK00491,/works/OL6997063W,success,3,3.0,
BOOK00492,/works/OL3518224W,success,2,2.0,
BOOK00493,/works/OL7942381W,success,4,4.0,
BOOK00494,/works/OL5274183W,success,4,4.0,
BOOK00495,/works/OL2743449W,success,3,3.0,
BOOK00496,/works/OL3952119W,success,10,10.0,
BOOK00497,/works/OL1964872W,success,5,5.0,
BOOK00498,/works/OL3375090W,success,2,2.0,
BOOK00499,/works/OL537975W,success,7,7.0,
BOOK00500,/works/OL19336277W,success,9,9.0,
BOOK00501,/works/OL269936W,success,11,11.0,
BOOK00502,/works/OL1887969W,success,4,4.0,
BOOK00503,/works/OL4115535W,success,6,6.0,
BOOK00504,/works/OL21485225W,success,16,16.0,
BOOK00505,/works/OL4807195W,success,12,12.0,
BOOK00506,/works/OL5830986W,success,3,3.0,
BOOK00507,/works/OL20858704W,success,1,1.0,
BOOK00508,/works/OL37570667W,success,10,10.0,
BOOK00509,/works/OL15148397W,success,2,2.0,
BOOK00510,/works/OL22542437W,success,4,4.0,
BOOK00511,/works/OL537976W,success,10,10.0,
BOOK00512,/works/OL7942383W,success,8,8.0,
BOOK00513,/works/OL521436W,success,5,5.0,
BOOK00514,/works/OL2676528W,success,7,7.0,
BOOK00515,/works/OL20493840W,success,1,1.0,
BOOK00516,/works/OL21321449W,success,8,8.0,
BOOK00517,/works/OL21298467W,success,18,18.0,
BOOK00518,/works/OL24272744W,success,1,1.0,
BOOK00519,/works/OL19977897W,success,21,21.0,
BOOK00520,/works/OL8467110W,success,11,11.0,
BOOK00521,/works/OL2673378W,success,26,26.0,
BOOK00522,/works/OL12422165W,success,2,2.0,
BOOK00523,/works/OL1965633W,success,19,19.0,
BOOK00524,/works/OL15997478W,success,1,1.0,
BOOK00525,/works/OL26604122W,success,1,1.0,
BOOK00526,/works/OL3274094W,success,14,14.0,
BOOK00527,/works/OL5769975W,success,6,6.0,
BOOK00528,/works/OL5815454W,success,19,19.0,
BOOK00529,/works/OL19868723W,success,4,4.0,
BOOK00530,/works/OL17536293W,success,13,13.0,
BOOK00531,/works/OL17315874W,success,4,4.0,
BOOK00532,/works/OL59388W,success,6,6.0,
BOOK00533,/works/OL19959036W,success,23,23.0,
BOOK00534,/works/OL16110494W,success,1,1.0,
BOOK00535,/works/OL20104000W,success,30,30.0,
BOOK00536,/works/OL2715488W,success,5,5.0,
BOOK00537,/works/OL3941855W,success,9,9.0,
BOOK00538,/works/OL5853546W,success,10,10.0,
BOOK00539,/works/OL20803749W,success,4,4.0,
BOOK00540,/works/OL18738779W,success,7,7.0,
BOOK00541,/works/OL29198625W,success,11,11.0,
BOOK00542,/works/OL8227958W,success,18,18.0,
BOOK00543,/works/OL20184101W,success,1,1.0,
BOOK00544,/works/OL21057781W,success,3,3.0,
BOOK00545,/works/OL284162W,success,6,6.0,
BOOK00546,/works/OL29017502W,success,15,15.0,
BOOK00547,/works/OL16166720W,success,3,3.0,
BOOK00548,/works/OL18176761W,success,4,4.0,
BOOK00549,/works/OL22534454W,success,3,3.0,
BOOK00550,/works/OL8227960W,success,7,7.0,
BOOK00551,/works/OL20754488W,success,14,14.0,
BOOK00552,/works/OL20991263W,success,5,5.0,
BOOK00553,/works/OL15980319W,success,15,15.0,
BOOK00554,/works/OL19708270W,success,14,14.0,
BOOK00555,/works/OL16642422W,success,2,2.0,
BOOK00556,/works/OL20498139W,success,3,3.0,
BOOK00557,/works/OL7947520W,success,2,2.0,
BOOK00558,/works/OL5857852W,success,3,3.0,
BOOK00559,/works/OL19130377W,success,2,2.0,
BOOK00560,/works/OL38235W,success,2,2.0,
