query_book_id,recommendations_returned,recommendations_with_cluster,unique_topic_clusters,cluster_diversity_ratio
BOOK00690,10,9,2,0.2222222222222222
BOOK00691,10,10,1,0.1
BOOK00692,10,10,3,0.3
BOOK00693,10,10,1,0.1
BOOK00694,10,10,1,0.1
BOOK00695,10,10,4,0.4
BOOK00696,10,10,1,0.1
BOOK00697,10,10,2,0.2
BOOK00698,10,9,5,0.5555555555555556
BOOK00699,10,10,2,0.2
BOOK00700,10,10,3,0.3
BOOK00701,10,10,1,0.1
BOOK00702,10,10,1,0.1
BOOK00703,10,10,1,0.1
BOOK00704,10,10,1,0.1
BOOK00705,10,10,1,0.1
BOOK00706,10,10,1,0.1
BOOK00707,10,10,2,0.2
BOOK00708,10,10,2,0.2
BOOK00709,10,8,5,0.625
BOOK00710,10,10,6,0.6
BOOK00711,10,10,1,0.1
BOOK00712,10,10,1,0.1
BOOK00713,10,10,3,0.3
BOOK00714,3,3,1,0.3333333333333333
BOOK00715,10,10,5,0.5
BOOK00716,10,10,2,0.2
BOOK00717,2,2,1,0.5
BOOK00718,10,10,5,0.5
BOOK00719,10,10,5,0.5
BOOK00720,10,10,3,0.3
BOOK00721,10,5,4,0.8
BOOK00722,10,10,3,0.3
BOOK00723,10,10,4,0.4
BOOK00724,2,2,2,1.0
BOOK00725,10,10,3,0.3
BOOK00726,10,10,2,0.2
BOOK00727,10,10,2,0.2
BOOK00728,10,10,5,0.5
BOOK00729,10,10,2,0.2
BOOK00730,10,8,2,0.25
BOOK00731,10,10,1,0.1
BOOK00732,10,10,1,0.1
BOOK00733,10,10,3,0.3
BOOK00734,10,10,7,0.7
BOOK00735,10,10,2,0.2
BOOK00736,10,10,5,0.5
BOOK00737,10,10,2,0.2
BOOK00738,10,7,5,0.7142857142857143
BOOK00739,10,10,3,0.3
BOOK00740,10,9,3,0.3333333333333333
BOOK00741,10,8,4,0.5
BOOK00742,10,9,6,0.6666666666666666
BOOK00743,10,10,3,0.3
BOOK00744,10,10,1,0.1
BOOK00745,10,10,6,0.6
BOOK00746,10,10,2,0.2
BOOK00747,10,10,3,0.3
BOOK00748,10,10,5,0.5
BOOK00749,10,10,3,0.3
BOOK00750,10,10,3,0.3
BOOK00751,10,10,8,0.8
BOOK00752,10,10,3,0.3
BOOK00753,10,10,1,0.1
BOOK00754,10,10,1,0.1
BOOK00755,10,10,4,0.4
BOOK00756,10,10,4,0.4
BOOK00757,10,10,2,0.2
BOOK00758,10,10,4,0.4
BOOK00759,10,10,3,0.3
BOOK00760,10,9,5,0.5555555555555556
BOOK00761,10,10,3,0.3
BOOK00762,10,10,3,0.3
BOOK00763,10,10,2,0.2
BOOK00764,10,9,3,0.3333333333333333
BOOK00765,10,10,3,0.3
BOOK00766,10,10,3,0.3
BOOK00767,10,10,1,0.1
BOOK00768,10,10,5,0.5
BOOK00769,10,10,1,0.1
BOOK00770,10,9,2,0.2222222222222222
BOOK00771,10,10,4,0.4
BOOK00772,10,10,3,0.3
BOOK00773,10,9,8,0.8888888888888888
BOOK00774,10,10,4,0.4
BOOK00775,10,10,3,0.3
BOOK00776,10,10,6,0.6
BOOK00777,10,10,4,0.4
BOOK00778,10,9,4,0.4444444444444444
BOOK00779,10,10,2,0.2
BOOK00780,10,10,2,0.2
