book_id,earliest_observed_year,earliest_year_edition_records,earliest_country_codes,earliest_country_code_count,earliest_publication_places,earliest_publication_place_count,earliest_publishers,earliest_publisher_count,earliest_geography_status
BOOK00152,1997,1,['ilu'],1,['Chicago'],1,['Moody Press'],1,single_country_evidence
BOOK00153,1993,1,['nyu'],1,['New York'],1,['McGraw-Hill'],1,single_country_evidence
BOOK00154,2002,2,[],0,[],0,"['BPI (India) PVT Ltd', 'Int. Cengage Business Press']",2,no_geographic_evidence
BOOK00155,2009,3,['mau'],1,"['Boston, MA']",1,"['Course Technology', 'Delmar Cengage Learning']",2,single_country_evidence
BOOK00156,1996,1,['cou'],1,"['Durango, CO']",1,['International LearningWorks'],1,single_country_evidence
BOOK00157,2018,1,[],0,[],0,['Knowledge Resources'],1,no_geographic_evidence
BOOK00158,1992,1,['cau'],1,"['San Diego, CA']",1,['Pfeiffer'],1,single_country_evidence
BOOK00159,2013,4,['nju'],1,"['Hoboken, N.J']",1,"['Wiley & Sons, Incorporated, John', 'Jossey-Bass']",2,single_country_evidence
BOOK00160,2019,4,[],0,[],0,"['Stylus Publishing, LLC']",1,no_geographic_evidence
BOOK00161,2014,1,[],0,[],0,['Taylor & Francis Group'],1,no_geographic_evidence
BOOK00162,2008,1,[],0,[],0,"['Evangel Publishing House, Nairobi']",1,no_geographic_evidence
BOOK00163,2011,1,[],0,[],0,"['Kogan Page, Limited']",1,no_geographic_evidence
BOOK00164,1997,1,['pau'],1,"['Lancaster, Pa']",1,['Technomic Pub. Co.'],1,single_country_evidence
BOOK00165,2017,1,[],0,[],0,['Independently Published'],1,no_geographic_evidence
BOOK00166,2000,1,[],0,[],0,['Management Books 2000 Ltd'],1,no_geographic_evidence
BOOK00167,1900,1,[],0,[],0,['Portfolio Penguin'],1,no_geographic_evidence
BOOK00168,2012,2,[],0,[],0,"['iUniverse', 'iUniverse.com']",2,no_geographic_evidence
BOOK00169,2004,1,['cau'],1,"['Palo Alto, Calif']",1,['Davies-Black Pub.'],1,single_country_evidence
BOOK00170,1992,2,[],0,[],0,['McGraw-Hill Education'],1,no_geographic_evidence
